p,q,mean_absorption_time,mean_first_hit_time,mean_tail_frequency,mean_entrenchment_degree,mean_max_nontrue_formula_frequency,mean_true_world_formula_frequency,runs_reaching_absorption,runs_reaching_first_hit
0.02,0.01,422.266,321.486,1.0,2.616,0.03961665515735183,0.04826040382266396,1000,1000
0.03,0.01,156.875,102.556,1.0,3.343,0.04867192341101669,0.06905163077761244,1000,1000
0.03,0.02,954.856,687.743,1.0,2.582,0.042528144141963445,0.04739519211473822,1000,1000
0.04,0.01,91.775,63.564,1.0,4.124,0.054017651226131176,0.08816510866670568,1000,1000
0.04,0.02,332.977,238.627,1.0,2.942,0.05059561261671128,0.06163018013081563,1000,1000
0.04,0.03,1489.023,1118.206,1.0,2.58,0.04848175798619144,0.05180661042578913,1000,1000
0.05,0.01,57.362,38.088,1.0,4.677,0.05928137916722163,0.10844520185342495,1000,1000
0.05,0.02,180.375,124.297,1.0,3.422,0.057131947627081174,0.0765582390744859,1000,1000
0.05,0.03,503.812,368.991,1.0,2.978,0.056903440915821904,0.06548147604788543,1000,1000
0.05,0.04,1973.626,1510.486,1.0,2.794,0.0565800308988745,0.059850245872019744,1000,1000
0.06,0.01,42.299,29.183,1.0,5.472,0.06153315452255866,0.12585917142467193,1000,1000
0.06,0.02,119.918,79.839,1.0,3.858,0.06194833901029375,0.08987117484353825,1000,1000
0.06,0.03,267.049,182.475,1.0,3.423,0.0631638967352267,0.07840702495394598,1000,1000
0.06,0.04,662.517,473.938,1.0,3.067,0.06469576498029216,0.07194050751472049,1000,1000
0.06,0.05,2385.068,1786.324,1.0,3.045,0.0656133024777755,0.06872095583684666,1000,1000
0.07,0.01,31.525,21.829,1.0,6.326,0.06401571878805866,0.14605874889818357,1000,1000
0.07,0.02,85.849,57.017,1.0,4.319,0.06563144785791357,0.1030279949556514,1000,1000
0.07,0.03,170.881,116.49,1.0,3.645,0.06846539289222707,0.08953663706894484,1000,1000
0.07,0.04,335.023,224.755,1.0,3.362,0.0714941836232322,0.0840148159829853,1000,1000
0.07,0.05,803.254,575.873,1.0,3.235,0.07387863169659174,0.08086390461312665,1000,1000
0.07,0.06,2915.521,2203.483,1.0,3.187,0.0747657567079813,0.07760170207627248,1000,1000
0.08,0.01,26.124,18.682,1.0,7.106,0.06498920982761451,0.16281240113827938,1000,1000
0.08,0.02,65.947,44.245,1.0,4.783,0.06900596273809825,0.11605827726101489,1000,1000
0.08,0.03,123.627,83.373,1.0,4.022,0.07286882717151985,0.10106189897419891,1000,1000
0.08,0.04,225.184,143.231,1.0,3.695,0.07604266639097963,0.09448703284438356,1000,1000
0.08,0.05,404.497,270.426,1.0,3.639,0.08053217939061912,0.09270341139001333,1000,1000
0.08,0.06,891.187,654.3,1.0,3.517,0.08289296828418477,0.08967909320643307,1000,1000
0.08,0.07,3284.427,2520.722,1.0,3.406,0.08476403118520016,0.08770396885856242,1000,1000
0.09,0.01,22.167,15.352,1.0,7.815,0.0667390406568748,0.1794717870347421,1000,1000
0.09,0.02,53.485,35.44,1.0,5.289,0.07111961686569555,0.12848620451521603,1000,1000
0.09,0.03,94.364,61.575,1.0,4.565,0.07625850380492472,0.11358021388101573,1000,1000
0.09,0.04,158.534,105.037,1.0,3.971,0.08048342553052124,0.10446911646216367,1000,1000
0.09,0.05,261.388,174.491,1.0,3.81,0.08578313068427741,0.10215064490094711,1000,1000
0.09,0.06,468.842,324.447,1.0,3.727,0.08951262701020754,0.1003807485199832,1000,1000
0.09,0.07,1005.594,701.082,1.0,3.644,0.09276305736935692,0.09894425097792627,1000,1000
0.09,0.08,3490.868,2680.472,1.0,3.398,0.09468404909857868,0.09737950086128501,1000,1000
0.10,0.01,18.128,12.618,1.0,8.5,0.06768295846133435,0.1960091069435379,1000,1000
0.10,0.02,44.237,29.959,1.0,5.921,0.07295973412233983,0.14149009002159613,1000,1000
0.10,0.03,72.025,47.283,1.0,4.8,0.07998145131424093,0.12471603231377126,1000,1000
0.10,0.04,115.233,75.3,1.0,4.368,0.08544784219740767,0.11715175500302441,1000,1000
0.10,0.05,176.949,112.219,1.0,4.061,0.09088064854298426,0.11385633571119558,1000,1000
0.10,0.06,292.614,194.174,1.0,4.042,0.09602999668789283,0.11241796337179713,1000,1000
0.10,0.07,507.034,345.163,1.0,3.692,0.10015495698082097,0.11069517352110843,1000,1000
0.10,0.08,1101.16,772.352,1.0,3.827,0.10280975407381908,0.1092498434803069,1000,1000
0.10,0.09,4032.638,3045.069,1.0,3.667,0.10460015597611538,0.10743971891327996,1000,1000
